//Fill Tile
Fill:0
//Layer,TileID,X,Y
1,2,2,1
0,13,-2,-2
0,9,-5,-2
0,9,1,-2
0,13,-4,-2
0,9,-3,-2
0,9,-1,-2
0,13,0,-2
0,9,1,-3
0,9,0,-3
0,9,-1,-3
0,9,-2,-3
0,9,-3,-3
0,9,-4,-3
0,9,-5,-3
0,7,1,-4
0,7,-5,-4
0,7,-4,-4
0,7,-3,-4
0,7,-2,-4
0,7,0,-4
0,7,-1,-4
0,9,2,-2
0,9,2,-3
0,9,-6,-3
0,9,-6,-2
0,8,2,-4
0,8,-3,3
0,9,-1,4
0,9,-3,4
0,6,-1,3
0,7,-6,3
0,7,-5,3
0,7,-4,3
0,9,-4,4
0,9,-5,4
0,9,-6,4
0,9,0,4
0,9,2,4
0,7,2,3
0,7,0,3
0,7,1,3
0,13,1,4
0,2,-2,3
0,2,-2,2
0,2,-4,1
0,2,-5,1
0,2,-6,1
0,12,-6,-1
0,2,-6,0
0,2,-5,0
0,12,-5,-1
0,2,-4,-1
0,2,-4,0
0,2,-3,-1
0,2,-2,-1
0,2,-1,-1
0,2,0,-1
0,2,1,-1
0,2,2,-1
0,2,1,1
0,11,2,0
0,2,1,0
0,2,0,1
0,2,-1,1
0,2,-2,1
0,2,2,1
0,9,-7,3
0,9,-7,2
0,9,-7,0
0,9,-7,1
0,9,-7,-1
0,9,-7,-2
0,9,-7,-3
0,9,3,-3
0,9,3,-2
0,9,3,-1
0,9,3,0
0,9,3,1
0,9,3,2
0,9,3,3
0,2,-2,0
0,2,-3,0
0,6,-6,-4
0,4,-4,5
0,4,-4,7
0,4,-4,9
0,4,-4,11
0,4,0,5
0,4,0,7
0,4,0,9
0,4,0,11
0,5,-4,6
0,5,-4,8
0,5,-4,10
0,5,-4,12
0,5,0,12
0,5,0,10
0,5,0,8
0,5,0,6
0,2,-2,4
0,1,-2,5
0,1,-2,6
0,1,-3,7
0,1,-2,7
0,1,-1,7
0,1,-2,8
0,1,-2,9
0,1,-2,10
0,1,-2,11
0,1,-3,6
0,1,-3,5
0,1,-1,5
0,1,-1,6
0,1,-1,8
0,1,-3,8
0,1,-3,9
0,1,-1,9
0,1,-1,10
0,1,-3,10
0,1,-3,11
0,1,-1,11
0,1,-1,12
0,1,-2,12
0,1,-3,12
0,2,-6,2
0,2,-4,2
0,2,-3,2
0,2,-5,2
0,2,-1,2
0,2,0,2
0,2,1,2
0,2,2,2
0,5,7,6
0,5,8,5
0,5,9,5
0,5,10,5
0,5,11,6
0,5,10,10
0,5,8,10
0,5,7,9
0,5,11,9
0,5,12,8
0,5,6,8
0,4,6,7
0,4,7,8
0,4,7,5
0,4,8,4
0,4,9,4
